Year,Month,Camera,CameraAccessory,EntertainmentSmall,GameCDDVD,GamingHardware,Total_GMV,Has Holiday,Holiday Percentage,Sales Days,Sales Percentage,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online Marketing,Affiliates,SEM,Radio,Other,NPS,Stock Index,tavg,prcp,wspd,pres,CLV,CAC,Delivery_Performance,Procurement_Performance,Profit,ROI
2023,7,46441573.0,18281474.0,86665444.87,11274124.0,18807837.86,181470453.7,1,3.333333333,2,4.545454545,170617754.4,0.215330204,2.533013708,7.414269734,0.000932898,1.327277595,0.547253859,5.023697445,0.0,0.0,54.6,1177,23.0,96.3,14.1,1012.8,61621494.23888644,2180.510571,2.817813765182186,-1.4291497975708505,10852699.303122995,1.063608264799821
2023,8,61550.0,42278.0,257264.0,18054.0,49980.0,429126.0,1,3.333333333,3,6.818181818,50643060.88999999,0.006438073,1.278073684,1.063331758,6.33e-06,0.129244264,0.07368398,2.513528004,0.0,0.0,60.0,1206,19.1,23.6,15.0,1018.3,185587.43333333332,463636.363636,12.0,5.0,-50213934.89216936,0.008473539956712
2023,9,138385439.0,48643090.0,185180999.3,25414336.0,41877751.01,439501615.3,1,3.333333333,0,0.0,962543798.6,3.879503617,1.356527598,62.78765131,0.610292082,16.37998999,5.038266216,6.202149045,0.0,0.0,46.9,1101,12.5,53.5,20.3,1015.2,120393067.75049973,10658.904003,13.026315789473683,4.526315789473684,-523042183.3845089,0.4566042770003058
2023,10,244549183.5,34202350.62,193601610.5,22153284.13,34030278.93,528536707.7,1,6.666666667,3,6.818181818,1701562974.0,6.144711095,12.62247977,84.67253153,3.444074757,24.37177774,6.973711108,31.92701138,0.0,0.0,44.4,1210,5.1,31.5,20.9,1019.6,104911146.1922852,9802.961623,13.969696969696969,7.0606060606060606,-1173026266.0249662,0.3106183643114246
2023,11,164603442.3,25024194.0,100158265.2,22035664.51,35651162.13,347472728.1,1,3.333333333,8,18.18181818,512162204.2,4.22062974,1.275468992,14.17211592,0.168633189,19.56157435,6.595766556,5.222031671,0.0,0.0,47.0,1233,3.9,56.4,17.9,1018.7,81534968.05851978,4968.365485,10.933333333333334,2.333333333333333,-164689476.02970803,0.6784427380790413
2023,12,210524131.3,29984752.0,140492367.4,35886062.73,60545444.75,477432758.2,1,6.666666667,10,22.72727273,1067453117.0,5.397502224,3.063360027,56.70541867,1.067306866,22.50375556,6.826937937,11.18103043,0.0,0.0,45.8,1038,-2.5,109.4,21.5,1017.8,225757309.53028,7657.253579,61.4,66.2,-590020358.9771852,0.4472634446512718
2024,1,195499388.0,27550163.0,112997851.8,20404939.41,51396784.1,407849126.3,1,3.333333333,3,6.818181818,741960000.0,4.38,0.456,4.2,0.9,22.9,7.37,4.2,2.7,27.09,47.1,1052,1.5,15.7,18.8,1016.0,206261248.8160101,6144.876647,42.35849056603774,22.150943396226417,-334110873.7012685,0.5496915282477918
2024,2,157598132.1,26813064.0,104572031.3,16255251.69,39613016.47,344851495.6,1,20.0,2,4.545454545,480520000.0,2.586007617,1.912651018,11.72555531,0.596770989,19.89236629,6.465019043,4.87362974,0.0,0.0,50.3,1222,17.2,79.3,17.8,1011.7,157184905.50186917,4088.36304,41.266932270916335,39.83665338645418,-135668504.41029572,0.7176631474021984
2024,3,190687016.7,28010222.76,126092599.2,25759934.22,52356096.13,422905869.0,1,10.0,3,6.818181818,1000246214.0,9.3,2.1,41.59,0.37,18.43781828,6.217666667,5.193591398,0.9,15.9,49.0,1015,21.9,61.1,18.1,1013.2,195007781.68541983,8324.523213,13.423828125,4.271129261363637,-577340345.27049,0.4228017691835982
2024,4,150876819.5,26481117.86,102749019.7,21576879.22,52557037.15,354240873.4,0,0.0,0,0.0,568482413.8,5.205196255,0.87189217,24.3083537,0.034875687,16.51450959,5.69345587,4.219958103,0.0,0.0,51.8,1242,23.1,69.2,14.7,1015.5,176367913.63953614,5657.257824,10.468800926744024,0.5779387799179282,-214241540.35086465,0.6231342691476174
2024,5,187012186.0,31770726.0,113207519.0,25488073.05,61270926.24,418749430.2,1,6.666666667,3,6.818181818,780570000.0,1.37,0.77,31.68,0.79,23.65,6.8,6.91,1.1,5.0,47.3,1228,17.0,14.8,17.8,1011.03,198946208.19315484,6443.788056,9.55816647875277,-0.4140896543680261,-361820569.7549263,0.5364662109036649
2024,6,133738773.0,23360181.0,100864161.6,17679957.09,41719105.26,317362177.9,1,10.0,0,0.0,428342164.3,1.662716883,1.420760507,25.04854077,0.045080625,7.971299866,2.768023061,3.735515978,0.0,0.0,50.5,1194,21.92,11.2,18.12,1013.16,76696628.8693405,4299.951776,9.688366479721711,1.135400186605006,-110979986.3207996,0.7409080973517709
